ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Convertible bonds (Bn. VND)
ASM,2024,3,11722123395180,660403660947,1294633110421,5152481932450,4553874648376,60730042986,9080308475363,0.0,6452605727921,485621113787.0,33310000000.0,0.0,993081825335,20802431870543,12708854632790,8213204567074,4495650065716,8093577237753,8083313852653,624814170976.0,884884910276,10263385100.0,2653584676159,20802431870543,2462133382797,0.0,4553874648376,0.0,158221233457.0,3701782500000,3701782500000,4476571304260,226262008913,6861319036422,364171606896.0,628299308360,2000000000.0,33823234163.0,33837734163,
ASM,2024,2,11481019688075,723619472881,1237963601506,5147764171630,4310154128162,61518313896,9151457740837,0.0,6514977152669,489742026723.0,33310000000.0,0.0,1008587181441,20632477428912,12610118801727,8280797795898,4329321005829,8022358627185,8012095242085,341715380976.0,1455148929566,10263385100.0,2631715816301,20632477428912,2503500483044,0.0,4310154128162,0.0,158221233457.0,3365267520000,3365267520000,4310462628954,218047641221,6945704939712,372511729302.0,635320604426,2000000000.0,33349220763.0,33363720763,
ASM,2024,1,10999184770663,657496133753,1153509626518,4687404575326,4440092791223,60681643843,9295012589864,0.0,6640363785320,493892496426.0,33310000000.0,0.0,1039872223874,20294197360527,12386077637573,8008262456154,4377815181419,7908119722954,7897856337854,341715380976.0,1370550847661,10263385100.0,2615216192543,20294197360527,2345361526183,0.0,4440399912118,0.0,145525353651.0,3365267520000,3365267520000,4359123189125,418094119169,6335976632560,389571396121.0,645473724807,2000000000.0,33231350763.0,33245850763,
ASM,2023,4,11097792363751,1365027739995,981956468827,4132243385406,4555774826135,62789943388,9217182495373,0.0,6560339365072,498014547420.0,33310000000.0,0.0,1069130188026,20314974859124,12466305026061,7868028470372,4598276555689,7848669833063,7838406447963,341715380976.0,1336111445770,10263385100.0,2590205704543,20314974859124,2227673234512,0.0,4556081947030,0.0,145525353651.0,3365267520000,3365267520000,4579700947976,382783964460,6202057761377,406631062945.0,656551695561,2000000000.0,35349350763.0,35363850763,
ASM,2023,3,10011105362841,859294255163,1101796017811,4309319804698,3659916365273,80778919896,9402997612550,0.0,6620867163950,500797425981.0,33421111111.0,0.0,1060968341895,19414102975391,11577101016981,7297488471071,4279612545910,7837001958410,7826738573310,341715380976.0,1311972980151,10263385100.0,2602676295509,19414102975391,2147697880070,0.0,3660223486168,0.0,145525353651.0,3365267520000,3365267520000,4260742040095,405399624886,5864504317714,423690729769.0,635294635392,2111111111.0,37503083329.0,37517583329,
ASM,2023,2,9769870027519,324945341038,1700822783580,4193064450614,3486108809295,64928642992,9473965682379,0.0,6685864997385,505847537086.0,3310000000.0,0.0,1085230991699,19243835709898,11465114695113,7226026763975,4239087931138,7778721014785,7768457629685,341715380976.0,1274820268314,10263385100.0,2581548063721,19243835709898,2019491859444,0.0,3486415930190,0.0,145525353651.0,3365267520000,3365267520000,4220387329904,298339776384,5872938779980,440750396593.0,643196559180,2000000000.0,53624443329.0,53638943329,
ASM,2023,1,9728251939737,612838248623,1439685172568,4496775318265,3118207898844,60745301437,9714564862705,0.0,6769092552330,509951396563.0,133310000000.0,0.0,1110338494333,19442816802442,11517104454054,7061672276654,4455432177400,7925712348388,7915448963288,341715380976.0,1383522028298,10263385100.0,2636288513448,19442816802442,2298410227362,0.0,3118515019739,0.0,131293378883.0,3365267520000,3365267520000,4436379243430,530080566801,5610868431837,457810063417.0,651207262137,2000000000.0,53577943329.0,53592443329,
ASM,2022,4,9211846322393,817343213117,981405931644,4165336155454,3189929388841,57831633337,9899069990046,0.0,6847171975772,513544896439.0,143310000000.0,0.0,1137166133641,19110916312439,11270429237355,7321331245556,3949097991799,7840487075084,7830223689984,407153460875.0,1041684275370,10263385100.0,2827462913173,19110916312439,2196408024364,0.0,3189929388841,0.0,131293378883.0,3365267520000,3365267520000,3930858267024,310447211365,5885161693020,475204904485.0,658995343127,2000000000.0,53665819990.0,53685264990,
ASM,2022,3,9318159848857,987691169286,1161464431290,4153128670087,2958484388549,57391189645,9907553229477,0.0,6895782337020,314811622471.0,143395612472.0,0.0,1138052775468,19225713078334,10946123346538,7328707364263,3617415982275,8279589731796,8269326346696,407153460875.0,1502718446919,10263385100.0,2805531398336,19225713078334,2076752992473,0.0,2958484388549,0.0,131293378883.0,3365267520000,3365267520000,3598860071206,430571265544,5510062889143,507760504167.0,627176902274,2000000000.0,51856066897.0,51870566897,
ASM,2022,2,9830205417094,680294786277,1663663593840,4597333332080,2826677368385,62236336512,9193469909771,0.0,6753318535713,318391931578.0,145395612472.0,0.0,790305862628,19023675326865,10819241069044,6521337415398,4297903653646,8204434257821,8194170872721,345904760875.0,1577880096509,10263385100.0,2716462974771,19023675326865,2444943795823,0.0,2826677368385,0.0,131293378883.0,3365267520000,3365267520000,3503343220260,628079538039,4690420745013,174695450004.0,610956246875,2000000000.0,51328873399.0,51343373399,
ASM,2022,1,9617285366100,449803838155,1619307943896,4671192859421,2820614856297,56365868331,9274428855792,0.0,6828409394017,308076695427.0,191395612472.0,0.0,804642290367,18891714221892,11057638150058,6671340234683,4386297915375,7834076071834,7823812686734,345904760875.0,1341429594071,10263385100.0,2594653310500,18891714221892,2358657090894,0.0,2820614856297,0.0,117244369244.0,3365267520000,3365267520000,3606168987527,668721451961,4648261226473,181854880656.0,617913147618,2000000000.0,52821180399.0,52837680399,
ASM,2021,4,9278792717291,800553548004,1390026899680,4177940761844,2856255557398,54015950365,8885267896041,0.0,6708514353774,323039583988.0,141395612472.0,0.0,787297335094,18164060613332,10592730853644,6491188545086,4101542308558,7571329759688,7563699738488,272989640875.0,2046068192867,7630021200.0,2479405913458,18164060613332,2233239365040,0.0,2856255557398,0.0,117244369244.0,2588678490000,2588678490000,3311922309367,581448360748,4592736587742,192823256458.0,587900578728,2000000000.0,40097715814.0,40112215814,
ASM,2021,3,9201630600435,846602135607,1337849546905,4273872005913,2670250606232,73056305778,8933666978520,0.0,6761951410956,320954391549.0,144453226547.0,0.0,801623247825,18135297578955,10738685958928,6542479267978,4196206690950,7396611620027,7389875965527,272989640875.0,1917011855800,6735654500.0,2434638477564,18135297578955,2256990811347,300000000.0,2719756665115,0.0,117244369244.0,2588678490000,2588678490000,3406222230293,545757550067,4672282811552,201887159685.0,593004635237,2000000000.0,46655507625.0,46670007625,
ASM,2021,2,9044816415980,848494636853,1292480287485,3970581399618,2852455294672,80804797352,9042621021657,0.0,6860158393803,317820556031.0,154243226547.0,0.0,608838159238,18087437437637,10958255992096,6705819056589,4252436935507,7129181445541,7122445791041,272989640875.0,1656152323530,6735654500.0,2428067835348,18087437437637,2166376698386,500000000.0,2901961353555,0.0,117244369244.0,2588678490000,2588678490000,3462888611560,623507967187,4762685295236,210951062911.0,394558146225,2000000000.0,42823736008.0,42838236008,
ASM,2021,1,8907570807269,603291123780,1334878831231,3875375839905,3028481483338,65543529015,9052821364404,0.0,6879066310990,321352131179.0,140784700426.0,0.0,613447149977,17960392171673,10938135328954,6640837670758,4297297658196,7022256842719,7015521188219,272989640875.0,1581543548620,6735654500.0,2411011531472,17960392171673,1784510915448,1000000000.0,3077987542221,0.0,104092515046.0,2588678490000,2588678490000,3507502911290,471568882225,4725972841012,218290561540.0,392979218900,2000000000.0,42913736008.0,42928236008,
